ID,FIRST_NAME,LAST_NAME,SPECIALIZATION,PERSONAL_ID
1100,Loyal,Senger,Infektologas,51501275792
1101,Elfrieda,Wehner,Odontologas,38102143503
1102,Zelma,Ferry,Onkologas,60911019338
1103,Miracle,Heller,Dermatovenerologas,44412178058
1104,Aurore,Sipes,Kardiologas,49103104714
1105,Haleigh,Bode,Kardiologas,34702079140
1106,Noel,Gusikowski,Dermatovenerologas,31912178632
1107,Aileen,Orn,Ftiziatras,51602122005
1108,Ali,Gaylord,Odontologas,44005206467
1109,Reed,Friesen,Chirurgas,49809151575
1110,Mateo,Hudson,Psichiatras,47607282132
1111,Vida,Gutmann,Bendrosios praktikos gydytojas,37105251916
1112,Hayden,Shanahan,Dermatovenerologas,44508237456
1113,Haven,Schuster,Akušeris-ginekologas,49209075455
1114,Daphne,Thiel,Ftiziatras,44907087196
1115,Vivianne,Fadel,Apylinkės terapeutas,45806095774
1116,Lonny,Turner,Psichiatras,33002242935
1117,Lincoln,Tromp,Psichiatras,34510187038
1118,Sadie,Carter,Onkologas,37103171979
1119,Monroe,Pfeffer,Psichiatras,45605262867
1120,Margarett,Gaylord,Neurochirurgas,49110228303
1121,Fletcher,Breitenberg,Vidaus ligų gydytojas,43301081961
1122,Breana,Daniel,Psichiatras,51209059741
1123,Rod,Rowe,Akušeris-ginekologas,49705074801
1124,Agnes,Connelly,Veido ir žandikaulių chirurgo,48904233777
1125,Korbin,Reynolds,Psichiatras,33701016808
1126,Perry,Schmidt,Reumatologas,60704131496
1127,Marcos,Kling,Psichiatras,39911017805
1128,Arely,Kilback,Krūtinės chirurgas,50801276131
1129,Francisco,Breitenberg,Alergologas,49009052880
1130,Autumn,Wilderman,Alergologas,42712236319
1131,Trinity,Sauer,Chirurgas,49811176712
1132,Aurelia,Borer,Pulmonologas,34109115351
1133,Laney,Hagenes,Apylinkės terapeutas,37608132041
1134,Gertrude,Stiedemann,Onkologas,49112301174
1135,Troy,Auer,Akušeris-ginekologas,48108079096
1136,Briana,Boyer,Apylinkės terapeutas,35607277095
1137,Lillian,Lueilwitz,Anesteziologas-reanimatologas,51710199422
1138,Leda,Haag,Pulmonologas,48009069940
1139,Shaniya,Christiansen,Krūtinės chirurgas,47103205904
1140,Jacynthe,Jakubowski,Apylinkės terapeutas,51612138434
1141,Anita,Witting,Širdies chirurgas,42909231371
1142,Coleman,Mohr,Alergologas,60112111120
1143,Rafaela,Reynolds,Chirurgas,45906082567
1144,Caitlyn,Homenick,Krūtinės chirurgas,38012041417
1145,Martina,Schamberger,Medicinos gydytojas,42905124177
1146,Clotilde,Abernathy,Traumatologas-ortopedas,37304239248
1147,Brandi,Rempel,Onkologas,38909081350
1148,Elouise,Kessler,Otorinolaringologas,36804099933
1149,Oma,Lemke,Oftalmologas,51011299990
1150,Lawrence,Hessel,Medicinos gydytojas,61711273656
1151,Madisen,Ebert,Apylinkės terapeutas,48103205068
1152,Magdalena,Swaniawski,Nefrologas,50406214925
1153,Devyn,Funk,Gastroenterologas,34208208699
1154,Elza,Harber,Alergologas,43606131071
1155,Juvenal,Willms,Širdies chirurgas,37207129389
1156,Gilbert,Rau,Psichiatras,39603043639
1157,Retha,Boyle,Vaikų ligų gydytojas,38512116424
1158,Verna,Kirlin,Chirurgas,50801226314
1159,Kellie,Corwin,Vaikų ligų gydytojas,40004107750
1160,Lorenz,Powlowski,Alergologas,43903156510
1161,Carey,Swift,Psichiatras,49908299474
1162,Bethel,Tromp,Darbo medicinos gydytojas,42708281427
1163,Kyler,Homenick,Neurologas,33009223785
1164,Jaquan,Hagenes,Odontologas,50202216262
1165,Lonny,Pollich,Odontologas,37307177792
1166,Rosemarie,Volkman,Veido ir žandikaulių chirurgo,48508267685
1167,Katelynn,Carroll,Vidaus ligų gydytojas,48711025615
1168,Aisha,Gusikowski,Kraujagyslių chirurgas,37812308713
1169,Nova,Moen,Kraujagyslių chirurgas,46006299616
1170,Salma,Kling,Veido ir žandikaulių chirurgo,39210168610
1171,Pablo,Hane,Krūtinės chirurgas,48507202735
1172,Holden,Hermann,Dermatovenerologas,48105284016
1173,Gertrude,Roberts,Akušeris-ginekologas,46002119731
1174,Josefina,Jones,Odontologas,44902139256
1175,Brooke,O'Connell,Stebėjimo paslauga,44909072039
1176,Garland,Kub,Sporto medicinos gydytojas,45201094500
1177,Carrie,Corkery,Anesteziologas-reanimatologas,39710042917
1178,Lila,Jacobs,Kardiologas,39511162457
1179,Justine,Kuhn,Genetikas,37809076073
1180,Katlyn,Cruickshank,Sporto medicinos gydytojas,61302281549
1181,Myrna,DuBuque,Stebėjimo paslauga,43012215867
1182,Steve,Ullrich,Apylinkės pediatras,43004035984
1183,Lauren,Gleason,Nefrologas,47108208661
1184,Marvin,Hauck,Neurologas,44110313634
1185,Jefferey,Price,Psichiatras,42806171669
1186,Gideon,Kautzer,Sporto medicinos gydytojas,37706238828
1187,Tre,Ferry,Oftalmologas,34702205497
1188,Zora,Effertz,Oftalmologas,37212228954
1189,Lilla,Aufderhar,Plastinės ir rekonstrukcinės chirurgijos gydytojo,39812302005
1190,Emelia,O'Reilly,Kraujagyslių chirurgas,49101276922
1191,Percival,Paucek,Koloproktologo,60401247129
1192,Felton,Yundt,Nefrologas,31803291409
1193,Monique,Roob,Traumatologas-ortopedas,39408316319
1194,Zane,Hauck,Odontologas,50111278522
1195,Maximo,Dibbert,Gastroenterologas,32610083108
1196,Rachelle,Kirlin,Koloproktologo,50802248676
1197,Guy,Satterfield,Hematologas,48201314904
1198,Winnifred,Padberg,Dietologas,44511119556
1199,Johnny,Haag,Kardiologas,35804018150
1200,Christopher,Willms,Odontologas,46811233552
1201,Kirsten,Johnston,Reumatologas,31911019424
1202,Lauretta,Zemlak,Odontologas,46311017739
1203,Lauriane,Ankunding,Pulmonologas,48604141699
1204,Elvera,Roob,Otorinolaringologas,33611164202
1205,Eduardo,Kunde,Bendrosios praktikos gydytojas,49403212498
1206,Walker,Hills,Nefrologas,51405252836
1207,Carol,Runte,Onkologas,60709208303
1208,Cristina,Lind,Sporto medicinos gydytojas,35804052619
1209,Lorine,Rolfson,Veido ir žandikaulių chirurgo,35811082989
1210,Orval,Deckow,Vidaus ligų gydytojas,38212077437
1211,Jerad,Jerde,Neurologas,47209187610
1212,Araceli,Lindgren,Neurochirurgas,34208281394
1213,Gregg,Oberbrunner,Veido ir žandikaulių chirurgo,60307267998
1214,Donavon,O'Keefe,Genetikas,33411178573
1215,Verla,Cummings,Dermatovenerologas,48506105699
1216,Alyson,Langosh,Neurochirurgas,50211299852
1217,Ransom,Crona,Sporto medicinos gydytojas,50903035347
1218,Hester,Christiansen,Psichiatras,47606081625
1219,Rosalinda,Grimes,Odontologas,50311225339
1220,Javier,Feeney,Oftalmologas,39308166285
1221,Tremayne,Klein,Kraujagyslių chirurgas,60305173314
1222,Stan,Toy,Alergologas,44001239094
1223,Rosendo,Hackett,Vaikų ligų gydytojas,46907144666
1224,Roel,Glover,Apylinkės pediatras,45810097040
1225,Jarrett,Rohan,Genetikas,43401186387
1226,Cristobal,Von,Kraujagyslių chirurgas,36901186504
1227,Orion,Daniel,Psichiatras,34003262411
1228,Magdalena,Grady,Chirurgas,45506279975
1229,Edwina,Mohr,Anesteziologas-reanimatologas,46603247340
1230,Maia,Hand,Endokrinologas,44310128337
1231,Marcelle,Schaden,Psichiatras,34612086670
1232,Jaqueline,Stehr,Chirurgas,39010107245
1233,Vesta,Eichmann,Vaikų ligų gydytojas,49211187513
1234,Isaac,Graham,Traumatologas-ortopedas,33101268537
1235,Callie,Larson,Kitos odontologinės paslaugos,60304208208
1236,Herbert,Torphy,Genetikas,37911236090
1237,Glenda,Frami,Oftalmologas,46011032824
1238,Imogene,Jerde,Urologas,45806171076
1239,Izabella,Renner,Odontologas,45004308420
1240,Norma,Berge,Kitos odontologinės paslaugos,45408019384
1241,Ardella,Collier,Akušeris-ginekologas,43801063529
1242,Jacklyn,Halvorson,Akušeris-ginekologas,41906108045
1243,Sarina,Kunze,Bendrosios praktikos gydytojas,38808177280
1244,Katarina,Bergnaum,Vaikų ligų gydytojas,60505248487
1245,Monserrat,Macejkovic,Krūtinės chirurgas,45406028493
1246,Christa,Swaniawski,Vaikų ligų gydytojas,43612165987
1247,Furman,Collins,Anesteziologas-reanimatologas,38904244769
1248,Rick,Fritsch,Sporto medicinos gydytojas,47707206547
1249,Sallie,Lebsack,Dermatovenerologas,39806157280
1250,Tamara,Feest,Ftiziatras,48107207082
1251,Miguel,Runte,Kraujagyslių chirurgas,47709246271
1252,Ruth,Hudson,Kardiologas,36212199327
1253,Marian,Ritchie,Akušeris-ginekologas,50711279308
1254,Velva,Hirthe,Infektologas,33104071546
1255,Amie,Zieme,Oftalmologas,38711042158
1256,Caterina,Greenfelder,Urologas,39912284379
1257,Thaddeus,Stokes,Veido ir žandikaulių chirurgo,36503152091
1258,Nat,Nikolaus,Akušeris-ginekologas,46103231075
1259,Trever,O'Hara,Vidaus ligų gydytojas,60905246276
1260,Rahsaan,Kuhic,Urologas,44704103649
1261,Waino,Hermann,Psichiatras,60806184992
1262,Nina,Hintz,Skubi pagalba (priėmimo sk.),35706011601
1263,Fern,Ernser,Endokrinologas,51507192816
1264,Dereck,Medhurst,Chirurgas,41904287165
1265,Shanna,Berge,Bendrosios praktikos gydytojas,34610186817
1266,Deshaun,Bartell,Širdies chirurgas,60107277999
1267,Jayce,Terry,Darbo medicinos gydytojas,33403153177
1268,Tamara,Dibbert,Akušeris-ginekologas,39203194948
1269,Nina,Schowalter,Stebėjimo paslauga,49410044141
1270,Orin,Upton,Sporto medicinos gydytojas,39505118181
1271,Lindsay,Hammes,Genetikas,37603179328
1272,Karine,Reichel,Reumatologas,47408295924
1273,Elliot,Murazik,Vidaus ligų gydytojas,50902064889
1274,Kiel,Langosh,Neurologas,33209291883
1275,Kian,Nicolas,Otorinolaringologas,46011047326
1276,Riley,Lowe,Vidaus ligų gydytojas,39402091778
1277,Maryjane,Jacobs,Darbo medicinos gydytojas,36812023325
1278,Hassan,Harber,Veido ir žandikaulių chirurgo,42605151742
1279,Joe,Quitzon,Oftalmologas,50609121847
1280,Ebony,Lockman,Endokrinologas,41809044189
1281,Dejah,Lowe,Otorinolaringologas,38604255982
1282,Bella,Hane,Dermatovenerologas,43906021753
1283,Adelbert,Reilly,Akušeris-ginekologas,37010316976
1284,Dorian,Medhurst,Bendrosios praktikos gydytojas,39004215775
1285,Norwood,Wilderman,Anesteziologas-reanimatologas,43504135318
1286,Destini,Orn,Anesteziologas-reanimatologas,38905308816
1287,Efrain,Bednar,Traumatologas-ortopedas,61505167293
1288,Tyreek,Koss,Traumatologas-ortopedas,44610145641
1289,Rylan,Pagac,Kraujagyslių chirurgas,42406286492
1290,Joaquin,Bosco,Stebėjimo paslauga,44712203812
1291,Pascale,Marquardt,Stebėjimo paslauga,45604222932
1292,Chaz,Feest,Sporto medicinos gydytojas,36712028955
1293,Estefania,Sauer,Otorinolaringologas,37512089162
1294,Pietro,Cremin,Skubi pagalba (priėmimo sk.),36103062733
1295,Bella,Mayer,Krūtinės chirurgas,39904306623
1296,Antonio,Windler,Pulmonologas,32909205882
